"rownames.mat_exp3."	"pvalueConTratamiento"
"136"	"209166_s_at"	0.1
"137"	"209285_s_at"	0.1
"138"	"209462_at"	0.1
"139"	"209886_s_at"	0.1
"140"	"210524_x_at"	0.1
"141"	"216266_s_at"	0.1
"142"	"217647_at"	0.1
"143"	"218220_at"	0.1
"144"	"218766_s_at"	0.1
"145"	"219446_at"	0.1
"146"	"220144_s_at"	0.1
"147"	"220333_at"	0.1
"148"	"220520_s_at"	0.1
"149"	"220725_x_at"	0.1
"150"	"221803_s_at"	0.1
"151"	"213795_s_at"	0.101174283805834
"152"	"203474_at"	0.101314094263437
"153"	"214220_s_at"	0.101718021436189
"154"	"41512_at"	0.102193866298217
"155"	"202241_at"	0.103072455470077
"156"	"217270_s_at"	0.10384937095514
"157"	"205596_s_at"	0.104446503359536
"158"	"206138_s_at"	0.106689646817484
"159"	"218102_at"	0.106948989884872
"160"	"210360_s_at"	0.107288924267201
"161"	"212404_s_at"	0.10747288314713
"162"	"50374_at"	0.108054137465258
"163"	"212105_s_at"	0.108297296552486
"164"	"212985_at"	0.108403248920315
"165"	"220608_s_at"	0.10900132170144
"166"	"201401_s_at"	0.109419807275015
"167"	"208797_s_at"	0.109571355922581
"168"	"201219_at"	0.110202573206607
"169"	"200088_x_at"	0.111290805001449
"170"	"200839_s_at"	0.111405071739292
"171"	"201804_x_at"	0.113203710675534
"172"	"203159_at"	0.113797307751796
"173"	"221771_s_at"	0.114050400256248
"174"	"203063_at"	0.114391779952815
"175"	"1431_at"	0.114783750712589
"176"	"201141_at"	0.114783750712589
"177"	"202222_s_at"	0.114783750712589
"178"	"202685_s_at"	0.114783750712589
"179"	"203294_s_at"	0.114783750712589
"180"	"204368_at"	0.114783750712589
"181"	"204376_at"	0.114783750712589
"182"	"204383_at"	0.114783750712589
"183"	"204524_at"	0.114783750712589
"184"	"204619_s_at"	0.114783750712589
"185"	"204655_at"	0.114783750712589
"186"	"205224_at"	0.114783750712589
"187"	"205227_at"	0.114783750712589
"188"	"205306_x_at"	0.114783750712589
"189"	"205362_s_at"	0.114783750712589
"190"	"205733_at"	0.114783750712589
"191"	"205742_at"	0.114783750712589
"192"	"205749_at"	0.114783750712589
"193"	"205875_s_at"	0.114783750712589
"194"	"206488_s_at"	0.114783750712589
"195"	"206542_s_at"	0.114783750712589
"196"	"206890_at"	0.114783750712589
"197"	"206941_x_at"	0.114783750712589
"198"	"207016_s_at"	0.114783750712589
"199"	"207111_at"	0.114783750712589
"200"	"207195_at"	0.114783750712589
