"rownames.mat_exp2."	"pvalueSinTratamiento"
"140"	"214015_at"	0.114783750712589
"141"	"214216_s_at"	0.114783750712589
"142"	"214312_at"	0.114783750712589
"143"	"214928_at"	0.114783750712589
"144"	"215134_at"	0.114783750712589
"145"	"215224_at"	0.114783750712589
"146"	"215394_at"	0.114783750712589
"147"	"215435_at"	0.114783750712589
"148"	"215659_at"	0.114783750712589
"149"	"215894_at"	0.114783750712589
"150"	"216149_at"	0.114783750712589
"151"	"216341_s_at"	0.114783750712589
"152"	"216479_at"	0.114783750712589
"153"	"216539_at"	0.114783750712589
"154"	"216598_s_at"	0.114783750712589
"155"	"216700_at"	0.114783750712589
"156"	"216701_at"	0.114783750712589
"157"	"217170_at"	0.114783750712589
"158"	"217242_at"	0.114783750712589
"159"	"217386_at"	0.114783750712589
"160"	"217460_at"	0.114783750712589
"161"	"217574_at"	0.114783750712589
"162"	"217620_s_at"	0.114783750712589
"163"	"217631_at"	0.114783750712589
"164"	"217697_at"	0.114783750712589
"165"	"217921_at"	0.114783750712589
"166"	"218430_s_at"	0.114783750712589
"167"	"218656_s_at"	0.114783750712589
"168"	"219240_s_at"	0.114783750712589
"169"	"219524_s_at"	0.114783750712589
"170"	"219548_at"	0.114783750712589
"171"	"219755_at"	0.114783750712589
"172"	"219873_at"	0.114783750712589
"173"	"219900_s_at"	0.114783750712589
"174"	"219903_s_at"	0.114783750712589
"175"	"219957_at"	0.114783750712589
"176"	"220087_at"	0.114783750712589
"177"	"220574_at"	0.114783750712589
"178"	"220704_at"	0.114783750712589
"179"	"220764_at"	0.114783750712589
"180"	"220792_at"	0.114783750712589
"181"	"220827_at"	0.114783750712589
"182"	"220880_at"	0.114783750712589
"183"	"221097_s_at"	0.114783750712589
"184"	"221102_s_at"	0.114783750712589
"185"	"221159_at"	0.114783750712589
"186"	"221304_at"	0.114783750712589
"187"	"221346_at"	0.114783750712589
"188"	"221372_s_at"	0.114783750712589
"189"	"221413_at"	0.114783750712589
"190"	"221628_s_at"	0.114783750712589
"191"	"221638_s_at"	0.114783750712589
"192"	"221747_at"	0.114783750712589
"193"	"221935_s_at"	0.114783750712589
"194"	"222134_at"	0.114783750712589
"195"	"222314_x_at"	0.114783750712589
"196"	"37950_at"	0.114783750712589
"197"	"60815_at"	0.114783750712589
"198"	"214268_s_at"	0.116179568854552
"199"	"214988_s_at"	0.116453292694608
"200"	"200728_at"	0.116594785077818
