"Gen"	"pValue"
"140"	"U19523_at"	0.00113128801835107
"141"	"X61118_rna1_at"	0.00113128801835107
"142"	"X97324_at"	0.00113128801835107
"143"	"AF006084_at"	0.00124277753132866
"144"	"D83779_at"	0.00124277753132866
"145"	"U79293_at"	0.00124277753132866
"146"	"X99728_at"	0.00126286108949033
"147"	"U27326_s_at"	0.00136404228464604
"148"	"M58286_s_at"	0.00136510662297067
"149"	"U01828_at"	0.00140496368962106
"150"	"D87116_at"	0.00142248107085275
"151"	"U90716_at"	0.00146365620078005
"152"	"M82962_at"	0.00146657838394435
"153"	"U30313_at"	0.00147591136283279
"154"	"HG2479-HT2575_s_at"	0.00149582607934016
"155"	"L20859_at"	0.00149582607934016
"156"	"S72043_rna1_at"	0.00149582607934016
"157"	"U22178_s_at"	0.00149582607934016
"158"	"M63138_at"	0.00151625374130977
"159"	"M76231_at"	0.00158054512430165
"160"	"D64109_at"	0.00159592329757911
"161"	"X65857_at"	0.00161879251180021
"162"	"X63527_at"	0.00163891427324677
"163"	"M29540_at"	0.00166336809103239
"164"	"M91438_at"	0.00167259682959423
"165"	"M62762_at"	0.00174385166117662
"166"	"X02875_s_at"	0.00178916884494306
"167"	"X53777_at"	0.00179414514928698
"168"	"L10373_at"	0.00185375808786958
"169"	"L27624_s_at"	0.00199174138921867
"170"	"J03810_at"	0.00199975184893483
"171"	"HG1763-HT1780_s_at"	0.00209657758259412
"172"	"D10523_at"	0.00214462737683402
"173"	"S42303_at"	0.00214462737683402
"174"	"X77567_s_at"	0.00214462737683402
"175"	"Y00081_s_at"	0.00214462737683402
"176"	"Z48314_s_at"	0.00214462737683402
"177"	"X79234_at"	0.0021503807070287
"178"	"U52522_at"	0.00224570130963358
"179"	"U37546_s_at"	0.00224662279756219
"180"	"U19251_s_at"	0.0023261105695423
"181"	"HG210-HT210_s_at"	0.00234132374427614
"182"	"HG613-HT613_at"	0.00234181054834959
"183"	"K03021_at"	0.00234181054834959
"184"	"L09604_at"	0.00234181054834959
"185"	"M29610_at"	0.00234181054834959
"186"	"M33478_at"	0.00234181054834959
"187"	"M86546_at"	0.00234181054834959
"188"	"U33632_at"	0.00234181054834959
"189"	"HG2261-HT2352_at"	0.00235532029800043
"190"	"X04602_s_at"	0.00237489719035798
"191"	"Z34918_at"	0.00250487595497675
"192"	"M55671_at"	0.00251835510191327
"193"	"U70370_at"	0.00253370449974718
"194"	"M19989_cds1_at"	0.00255500486168795
"195"	"U12595_at"	0.00255500486168795
"196"	"U58087_at"	0.00255500486168795
"197"	"U77594_at"	0.00255500486168795
"198"	"J05614_at"	0.00261585900804758
"199"	"Z69881_at"	0.00278531645385244
"200"	"M21121_at"	0.00303391859340472
